execution_key	source_id	report_fqcn	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at
v934|8:surefire|4:unit|4:unit|96:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$FunctionExpressions	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$FunctionExpressions	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|92:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$MalformedInputs	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$MalformedInputs	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|91:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$ValueSemantics	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$ValueSemantics	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|80:com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecMetadataTest	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ColumnSpecMetadataTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecMetadataTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|86:com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest	v934-src|125:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ColumnSpecPlanProvenanceTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|110:com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$BuilderAcceptsNewFields	v934-src|125:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ColumnSpecPlanProvenanceTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$BuilderAcceptsNewFields	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|95:com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$Defaults	v934-src|125:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ColumnSpecPlanProvenanceTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$Defaults	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|104:com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$EqualityUnchanged	v934-src|125:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ColumnSpecPlanProvenanceTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$EqualityUnchanged	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|112:com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$ToStringIncludesNewFields	v934-src|125:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ColumnSpecPlanProvenanceTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ColumnSpecPlanProvenanceTest$ToStringIncludesNewFields	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|84:com.foggyframework.dataset.db.model.engine.compose.schema.ComposeSchemaExceptionTest	v934-src|123:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/ComposeSchemaExceptionTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.ComposeSchemaExceptionTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
